Barkod,Ürün Adı,Maliyet (TL),Kargo (TL),Komisyon (%)
AYT003IMT00540,"Zarif Şık Inci Kolye Bileklik Küpe Set (NİKAH, DÜĞÜN, KINA, NİŞAN VE ÖZEL DAVETLER IÇİN INCİ SET)",60.0,100.0,22.5
AYT003IMT00744,"İnci Set, Paslanmaz Çelik Uzatma Zincirli Kolye Bileklik Küpe",60.0,100.0,22.5
AYT001INCI0024,"Gerçek Barok İncili Dorika Detaylı Paslanmaz Çelik Uzun Kolye, Gümüş Renk",663.3333333333334,100.0,22.5
AYT012AND0001,Ham Andız 17'li Efe Tesbih - 13mm Tornalanmamış Doğal Dokulu Bilek Boyu,96.66666666666669,100.0,22.5
AYT012AND0002,Tornalanmış Andız 17'li Efe Tesbih - 13mm İşlemeli Doğal Çekirdek (15 cm),130.0,100.0,22.5
AYT012KUKA0001,3x9 mm İnce Arpa Kesim Kuka Tesbih - Sistemli ve Zarif Tasarım (15 cm),130.0,100.0,22.5
AYT001INCI0023,"Gerçek Barok İncili Dorika Detaylı Paslanmaz Çelik Uzun Kolye, Altın renk",663.3333333333334,100.0,22.5
AYT012DGL0001,"Bileğinde Şıklık, Elinde Huzur: 2'si 1 Arada Volkan Taşı Tesbih Bileklik Tasarım",149.66666666666666,100.0,22.5
AYT003IMT002240,"Asil, Modern, Tarz Siyah İnci Boncuk Set Paslanmaz Çelik Zincir Kolye Bileklik Küpe",159.6,100.0,22.5
AYT003IMT002140,"Siyah&Beyaz İnci Set, A Kalite Boncuk İnci Paslanmaz Çelik Kolye, Bileklik ve Küpe Takımı",166.33333333333334,100.0,22.5
AYT001INCI001960,Gerçek Kültür İncisi Dorika Detaylı Gümüş Renk Çelik Kolye 60cm Kararmaz,353.1266666666667,100.0,22.5
AYT001INCI002060,Gerçek Kültür İncisi Dorika Detaylı Gold Renk Çelik Kolye 60cm Kararmaz,353.1266666666667,100.0,22.5
AYT001INCI002240,Gerçek Kültür İncisi Dorika Detaylı Gold Renk Çelik Kolye 40cm Kararmaz,328.6166666666667,100.0,22.5
